date,conc_silica,starch_flow_mean,starch_flow_std,starch_flow_min,starch_flow_max,amina_flow_mean,amina_flow_std,amina_flow_min,amina_flow_max,pulp_flow_mean,pulp_flow_std,pulp_flow_min,pulp_flow_max,pulp_ph_mean,pulp_ph_std,pulp_ph_min,pulp_ph_max,pulp_density_mean,pulp_density_std,pulp_density_min,pulp_density_max,air_col1_mean,air_col1_std,air_col1_min,air_col1_max,air_col2_mean,air_col2_std,air_col2_min,air_col2_max,air_col3_mean,air_col3_std,air_col3_min,air_col3_max,air_col4_mean,air_col4_std,air_col4_min,air_col4_max,air_col5_mean,air_col5_std,air_col5_min,air_col5_max,air_col6_mean,air_col6_std,air_col6_min,air_col6_max,air_col7_mean,air_col7_std,air_col7_min,air_col7_max,level_col1_mean,level_col1_std,level_col1_min,level_col1_max,level_col2_mean,level_col2_std,level_col2_min,level_col2_max,level_col3_mean,level_col3_std,level_col3_min,level_col3_max,level_col4_mean,level_col4_std,level_col4_min,level_col4_max,level_col5_mean,level_col5_std,level_col5_min,level_col5_max,level_col6_mean,level_col6_std,level_col6_min,level_col6_max,level_col7_mean,level_col7_std,level_col7_min,level_col7_max,feed_iron,feed_silica,conc_iron
2017-03-29 12:00:00,1.36,1060.8592972222239,878.1972226122577,119.031,3594.88,379.83620277777777,41.59840698943097,260.474,430.908,400.9825388888889,5.300053674757466,388.848,418.32,9.527187166666668,0.09626977826406011,9.41323,9.74604,1.5503741912083333,0.028278435779149305,1.51986,1.6496495455,200.0358388888889,0.32316635569202207,199.344,201.193,195.5777,2.542617030150469,188.341,201.945,199.98371666666668,1.304777256938315,198.158,203.118,295.096,0.0,295.096,295.096,306.4,0.0,306.4,306.4,250.06972222222223,0.3391377013972399,249.029,250.928,249.99295555555557,0.9503328603703473,247.991,252.751,753.7242474295194,97.98110437167897,555.2644666667,861.745,726.5594373737378,85.51729992921629,552.2555655738,827.599,860.5578180555555,45.55494794589767,614.9847142857,886.173,477.34919722222224,90.03407960474416,181.801,671.216,452.51252222222223,106.13634237075655,171.934,673.604,478.21964722222225,65.24096277483083,343.768,677.486,470.10554722222224,83.80714050775126,218.95,620.093,60.18,9.34,66.44
2017-03-29 13:00:00,1.43,2034.9265250000005,367.8929117151434,736.753,2554.69,322.233975,65.56235376203747,241.83,435.923,400.4689472222222,2.921141855305752,393.295,411.816,9.700679444444445,0.09691477733354889,9.57061,9.87998,1.5320165587916668,0.01990677760467494,1.51986,1.59359,199.99012222222223,0.35701770069501654,199.075,200.969,195.10625,2.6171248497254154,188.596,203.027,199.76534444444445,1.2296157928449256,197.62,203.247,295.096,0.0,295.096,295.096,306.4,0.0,306.4,306.4,250.02905555555557,0.34770623834100384,248.601,251.111,250.0597111111111,1.1482084100669492,248.071,253.25,848.6755031081155,12.356234833436915,754.035,856.432,777.7844371079944,31.63504332222619,590.97,820.359,869.4194208333333,39.87193042186166,640.314,885.841,483.81613055555556,99.48656174476919,169.865,675.586,469.44817222222224,128.56274984216773,199.37,674.375,471.60707499999995,62.34059201464683,216.464,641.579,462.6654777777778,69.99867879367281,260.282,613.825,60.18,9.34,66.57
2017-03-29 14:00:00,1.33,1435.4258111111112,922.9987213887807,103.717,3491.52,474.65632222222223,13.781211094283444,435.199,491.666,399.1570833333333,3.6025653613725015,386.197,408.006,9.687787555555555,0.028396875499346972,9.6132,9.74957,1.6451995555555556,0.01988841581424379,1.59494,1.67006,200.01931111111114,0.32159030963346563,199.088,201.034,195.6049277777778,2.4958897855415167,188.804,201.511,199.9258,1.3478769708291674,198.047,203.467,295.096,0.0,295.096,295.096,306.4,0.0,306.4,306.4,249.97935555555554,1.6368294724973607,245.09,256.129,250.11132777777777,0.7804083362516838,248.107,253.1,851.9514916150066,6.007055316657899,843.61,859.799,776.2936543624168,1.179965935014397,774.2668697987,778.3204389262,879.7049888888888,5.609657515672404,854.227,886.773,456.14723055555555,30.081771060798932,380.758,597.938,453.227,32.93271233403008,373.577,560.966,447.7084666666667,35.395966234978786,204.255,546.242,453.47566666666665,37.49571959839039,354.229,540.95,60.18,9.34,66.64
2017-03-29 15:00:00,1.27,618.4603871486116,840.2961824557227,0.0249221,3087.89,396.3777333333333,55.666993907114666,251.555,476.878,398.9425222222222,3.1839582660152463,391.406,407.953,9.851689333333333,0.07050794724095952,9.74131,9.9645,1.5599287797927777,0.04590537057005499,1.52075,1.63844,199.94083333333333,1.0750969217058755,198.193,203.906,195.65709444444445,2.4184043765385077,186.108,201.039,200.0443388888889,1.124968613659703,197.974,202.6,295.096,0.0,295.096,295.096,306.4,0.0,306.4,306.4,249.97858888888888,2.409856892732688,245.045,255.418,250.02850555555557,1.0823665592968292,247.852,254.219,855.9106302186884,1.24680665286867,853.7690357853,858.0522246521,780.3698691275173,1.17996593501397,778.3430845638,782.3966536913,882.0938961111111,3.835968526056704,853.662,886.579,449.4107444444444,16.003297881884784,395.79,496.902,448.58150555555557,21.890452702862987,395.714,511.124,450.6975777777778,17.351725805029055,386.827,490.63,448.66009444444444,29.120183064625262,390.01,520.12,60.18,9.34,66.41
2017-03-29 16:00:00,5.5,1367.5028581893,1022.7721648341171,10.3371,3426.47,317.1340722222228,69.78879768702696,242.856,427.079,400.83628333333337,3.474036424060405,392.235,408.968,9.936163333333333,0.2207314782577612,9.55059,10.2219,1.5309835535405556,0.017372944527563588,1.5210796891,1.57275,199.8789222222222,1.1356437667096753,198.205,204.678,196.16286388888886,8.024580270412056,179.521,269.877,199.90546666666665,1.374612174457803,197.612,203.247,295.096,0.0,295.096,295.096,306.4,0.0,306.4,306.4,250.06166111111114,0.4158839164944438,248.492,250.772,250.12206666666668,1.1504517237655383,247.689,253.65,851.6035129224662,1.2468066528682458,849.4619184891,853.7451073559,784.4460838926183,1.179965935013671,782.4192993289,786.4728684564,884.8406983333333,2.0127122881071573,879.405,886.729,450.12305000000003,13.78344549171884,405.883,507.259,451.7746944444445,15.665837907786528,406.691,508.713,451.5744222222222,9.353199798399322,425.144,488.912,449.4068944444444,20.850337988364103,386.906,525.616,59.54,9.56,63.63
2017-03-29 17:00:00,1.64,1729.4127100384778,759.4982630776744,0.295707,3110.38,410.9787166666666,33.86656005049549,297.717,441.942,400.0360944444445,6.115612679782551,376.96,415.489,9.477018055555556,0.024997909076746466,9.45094,9.54853,1.5677388888888888,0.021899516626610983,1.53626,1.59919,199.90618333333333,1.2852461341778008,197.996,205.005,195.2356333333333,2.274194844077084,189.388,200.88,200.02759444444442,1.3716226971848475,197.974,203.394,295.096,0.0,295.096,295.096,306.4,0.0,306.4,306.4,250.02453333333332,0.24120902176073047,249.185,250.786,250.05318333333332,0.6664878803794807,248.291,252.47,847.602239962055,16.660270924225397,744.692,856.183,803.1982986754739,18.683354749109547,748.813,822.352,869.1788236111112,31.46016023150609,708.103,886.728,431.97791666666666,125.9052372820504,172.099,678.384,452.87796944444443,74.53839086808725,209.498,666.996,462.79035000000005,35.97168672587858,342.944,586.932,449.58602777777776,67.50354319518533,186.137,602.274,59.54,9.56,66.19
2017-03-29 18:00:00,1.46,1639.599184636111,763.1452308136927,0.493917,3858.32,460.21680555555554,12.99062211862921,435.018,483.827,399.2553611111111,3.63304372872005,390.387,410.638,9.604896944444445,0.08160180544952983,9.4651,9.68974,1.6267856666666667,0.01857977524504598,1.59947,1.65588,199.9013388888889,1.1303243918811152,197.983,204.346,195.5468888888889,2.2389490523666917,187.238,202.731,199.8719388888889,1.336229729537292,197.996,203.247,295.096,0.0,295.096,295.096,306.4,0.0,306.4,306.4,249.99735,0.42746832317545225,247.997,251.779,250.07643333333334,1.1128099523027875,247.661,252.875,856.0260509868423,0.04713505597696406,855.9450888158,856.1070131579,820.4410665529028,0.5673530032513056,819.4665449374,821.4155881684,883.4085180555556,2.596029923989874,868.286,886.75,336.0238138888889,142.57113294537547,163.816,635.34,449.69535,17.98030771496585,405.74,526.394,452.2068888888889,13.088391192577177,382.907,514.694,449.97343611111114,32.01638497689758,351.201,593.958,59.54,9.56,66.26
2017-03-29 19:00:00,1.69,1913.0137777777784,351.93959373010495,1038.63,3695.54,495.23505555555556,17.11702047465794,454.712,521.676,399.94831666666664,3.5933854214974033,392.885,409.783,9.55847461111111,0.10572591491306191,9.369,9.68298,1.6734995555555554,0.02172638863064595,1.63005,1.6976,199.86690555555555,0.861672867563565,198.117,203.843,195.56660555555555,2.3840977762400817,188.875,204.734,200.05346111111112,1.3812074280762678,197.551,203.882,295.096,0.0,295.096,295.096,306.4,0.0,306.4,306.4,250.00703333333334,0.2948080693695006,249.01,250.708,250.0362,1.0224625023515996,248.088,253.141,855.8632220394733,0.04713505597727132,855.7822598684,855.9441842105,818.4811348122873,0.5673530032506252,817.5066131968,819.4556564278,882.9909886363633,2.197931367869613,868.55,886.565,559.4628166666666,89.14811383094936,358.943,674.494,556.9675055555556,74.22820670659543,422.423,664.793,518.0528666666667,48.35049624703025,421.223,582.864,523.231725,53.22712428411508,418.137,656.942,59.54,9.56,66.28
2017-03-29 20:00:00,1.81,2033.8157388888887,519.2717223242307,149.246,3283.21,500.4931722222222,11.136795384645014,483.101,522.965,400.51248333333336,3.1344249879854122,389.462,407.423,9.279860222222222,0.06485798120669227,9.19806,9.42445,1.6828639444444444,0.014011399768067027,1.66303,1.70976,199.89818888888888,0.27711790421541593,199.292,200.79,195.38002777777777,2.434953709838549,187.523,201.602,199.86046666666667,1.3728715345141782,197.988,203.413,295.096,0.0,295.096,295.096,306.4,0.0,306.4,306.4,250.06775,0.31870544490882097,249.184,250.868,250.01578888888886,1.1135773597683736,248.071,253.345,855.7003930921055,0.047135055977463626,855.6194309211,855.7813552632,816.5212030716739,0.5673530032510227,815.5466814562,817.4957246871,883.0138110858588,3.1080940865373456,871.143,886.427,589.5073472222222,58.70453532849188,458.675,679.794,601.7241111111111,23.344501046629336,558.492,665.039,549.2018777777778,9.558120456207352,517.494,590.467,548.9722444444444,38.98248579405945,459.614,646.913,59.54,9.56,64.13
2017-03-29 21:00:00,1.71,2213.6027222222224,183.9676715613343,1879.52,2621.54,530.6425722222223,5.051052538170373,520.555,541.151,400.3550333333333,3.5181270170902086,391.126,409.754,9.588319833333333,0.05369858224021646,9.42729,9.63477,1.7216738333333335,0.006256867447165207,1.70973,1.73386,199.88082222222224,0.5866483453208209,198.433,203.182,195.37482777777777,2.324010338611392,189.763,202.818,199.9188722222222,1.2271884614412223,198.053,202.368,295.096,0.0,295.096,295.096,306.4,0.0,306.4,306.4,250.01756111111112,0.3888777028230688,248.534,250.928,250.21335555555558,1.0892805663389036,248.071,253.406,855.5375641447367,0.047135055977240485,855.4566019737,855.6185263158,814.5612713310583,0.5673530032506804,813.5867497156,815.5357929465,884.3856992676767,1.683013906296803,880.939,886.693,589.1645472222222,66.47950247307597,471.484,679.852,603.1319333333333,30.947310681004137,555.186,674.949,549.1781,14.584154444131466,508.797,603.554,552.9521777777777,57.57377834482472,458.769,656.371,59.54,9.56,65.88
