time_stamp,AmbientConditions.AmbientHumidity.U.Actual,AmbientConditions.AmbientTemperature.U.Actual,Machine1.RawMaterial.Property1,Machine1.RawMaterial.Property2,Machine1.RawMaterial.Property3,Machine1.RawMaterial.Property4,Machine1.RawMaterialFeederParameter.U.Actual,Machine1.Zone1Temperature.C.Actual,Machine1.Zone2Temperature.C.Actual,Machine1.MotorAmperage.U.Actual,Machine1.MotorRPM.C.Actual,Machine1.MaterialPressure.U.Actual,Machine1.MaterialTemperature.U.Actual,Machine1.ExitZoneTemperature.C.Actual,Machine2.RawMaterial.Property1,Machine2.RawMaterial.Property2,Machine2.RawMaterial.Property3,Machine2.RawMaterial.Property4,Machine2.RawMaterialFeederParameter.U.Actual,Machine2.Zone1Temperature.C.Actual,Machine2.Zone2Temperature.C.Actual,Machine2.MotorAmperage.U.Actual,Machine2.MotorRPM.C.Actual,Machine2.MaterialPressure.U.Actual,Machine2.MaterialTemperature.U.Actual,Machine2.ExitZoneTemperature.C.Actual,Machine3.RawMaterial.Property1,Machine3.RawMaterial.Property2,Machine3.RawMaterial.Property3,Machine3.RawMaterial.Property4,Machine3.RawMaterialFeederParameter.U.Actual,Machine3.Zone1Temperature.C.Actual,Machine3.Zone2Temperature.C.Actual,Machine3.MotorAmperage.U.Actual,Machine3.MotorRPM.C.Actual,Machine3.MaterialPressure.U.Actual,Machine3.MaterialTemperature.U.Actual,Machine3.ExitZoneTemperature.C.Actual,FirstStage.CombinerOperation.Temperature1.U.Actual,FirstStage.CombinerOperation.Temperature2.U.Actual,FirstStage.CombinerOperation.Temperature3.C.Actual,Stage1.Output.Measurement8.U.Actual
2019-03-06 10:52:33,17.24,23.53,11.54,200.0,963.0,247.0,1241.26,72.0,72.3,48.03,10.48,436.76,76.3,75.1,12.59,236.0,601.11,257.0,200.75,69.37,69.06,73.25,13.89,246.68,68.8,60.1,9.02,186.0,421.16,200.0,203.95,78.2,78.4,337.4,13.5,263.71,65.3,65.0,99.1,108.2,80.0,20.82
2019-03-06 10:52:34,17.24,23.53,11.54,200.0,963.0,247.0,1246.09,72.0,72.3,48.03,10.48,436.77,76.3,75.1,12.59,236.0,601.11,257.0,220.16,69.35,69.05,73.19,13.89,246.02,69.0,60.0,9.02,186.0,421.16,200.0,213.36,78.1,78.4,341.85,13.59,262.88,65.3,65.0,99.1,109.2,80.0,19.65
2019-03-06 10:52:35,17.24,23.53,11.54,200.0,963.0,247.0,1246.29,72.0,72.3,48.16,10.48,425.46,76.3,75.1,12.59,236.0,601.11,257.0,216.84,69.37,69.07,73.19,13.85,247.18,68.9,60.0,9.02,186.0,421.16,200.0,225.25,78.1,78.5,338.71,14.0,262.63,65.3,65.0,99.6,111.0,80.0,19.65
2019-03-06 10:52:36,17.24,23.53,11.54,200.0,963.0,247.0,1247.59,72.0,72.3,48.57,10.48,437.01,76.3,75.1,12.59,236.0,601.11,257.0,208.61,69.38,69.08,72.81,13.9,249.92,69.1,59.9,9.02,186.0,421.16,200.0,213.99,78.1,78.5,339.15,13.67,262.22,65.4,65.0,99.6,109.2,80.0,19.65
2019-03-06 10:52:37,17.24,23.53,11.54,200.0,963.0,247.0,1252.83,72.1,72.4,48.57,10.48,425.18,76.4,75.1,12.59,236.0,601.11,257.0,212.31,69.4,69.07,73.0,13.89,250.58,68.9,59.9,9.02,186.0,421.16,200.0,200.86,78.0,78.5,337.05,13.72,262.17,65.4,65.0,99.6,109.8,80.0,0.0
2019-03-06 10:52:38,17.24,23.53,11.54,200.0,963.0,247.0,1262.73,72.1,72.4,48.7,10.48,435.23,76.4,75.1,12.59,236.0,601.11,257.0,224.17,69.27,69.06,73.19,13.87,247.33,69.2,59.8,9.02,186.0,421.16,200.0,208.78,78.0,78.5,350.49,13.76,261.39,65.4,65.0,99.6,109.9,80.0,0.0
2019-03-06 10:52:39,17.24,23.53,11.54,200.0,963.0,247.0,1306.38,72.1,72.4,48.7,10.45,435.25,76.4,75.0,12.59,236.0,601.11,257.0,210.46,69.27,69.06,73.19,13.87,245.12,69.2,59.8,9.02,186.0,421.16,200.0,223.1,77.9,78.5,345.76,13.81,261.03,65.4,65.0,99.6,109.9,80.0,20.65
2019-03-06 10:52:40,17.24,23.53,11.54,200.0,963.0,247.0,1296.13,72.1,72.4,49.78,10.48,439.68,76.4,75.0,12.59,236.0,601.11,257.0,210.21,69.25,68.94,73.19,13.93,248.85,69.0,59.8,9.02,186.0,421.16,200.0,220.17,77.9,78.5,351.83,13.49,260.61,65.4,65.0,99.6,109.0,80.0,20.65
2019-03-06 10:52:41,17.24,23.53,11.54,200.0,963.0,247.0,1251.11,72.1,72.4,49.37,10.48,422.66,76.5,75.0,12.59,236.0,601.11,257.0,201.35,69.25,69.04,73.06,13.93,249.63,69.1,59.9,9.02,186.0,421.16,200.0,210.96,77.9,78.5,332.66,13.59,260.59,65.4,65.0,99.3,109.9,80.0,0.0
2019-03-06 10:52:42,17.24,23.53,11.54,200.0,963.0,247.0,1202.16,72.1,72.4,49.64,10.52,431.83,76.5,75.0,12.59,236.0,601.11,257.0,211.53,69.25,69.04,73.06,13.92,244.42,69.1,59.9,9.02,186.0,421.16,200.0,220.74,77.8,78.5,339.5,13.6,260.58,65.4,65.0,99.3,109.9,80.0,0.0
